ga_sourcemedium,ga_date,ga_users_count,ga_sessions_count,ga_pageviews,ga_timeonpage_sec,ga_landingpage_anon
(direct) / (none),20220204,6,3,0,0,PAGE0001
(direct) / (none),20220205,4,4,0,0,PAGE0001
(direct) / (none),20220206,2,2,0,0,PAGE0001
(direct) / (none),20220207,7,5,0,0,PAGE0001
(direct) / (none),20220208,7,4,0,0,PAGE0001
(direct) / (none),20220209,7,7,0,0,PAGE0001
(direct) / (none),20220210,5,6,0,0,PAGE0001
(direct) / (none),20220204,108,127,426,31119,PAGE0002
(direct) / (none),20220205,36,39,108,7205,PAGE0002
(direct) / (none),20220206,45,47,259,24592,PAGE0002
(direct) / (none),20220207,128,148,575,47718,PAGE0002
(direct) / (none),20220208,124,136,561,47459,PAGE0002
(direct) / (none),20220209,99,125,504,44247,PAGE0002
(direct) / (none),20220210,142,174,666,59255,PAGE0002
(direct) / (none),20220206,1,1,4,141,PAGE0003
(direct) / (none),20220208,1,1,4,826,PAGE0004
(direct) / (none),20220208,1,1,29,3908,PAGE0005
(direct) / (none),20220208,1,1,11,1141,PAGE0006
(direct) / (none),20220209,1,1,5,1130,PAGE0007
(direct) / (none),20220207,1,1,1,0,PAGE0008
(direct) / (none),20220207,1,1,3,180,PAGE0009
(direct) / (none),20220207,1,1,1,11,PAGE0010
(direct) / (none),20220204,1,1,2,291,PAGE0011
(direct) / (none),20220207,1,1,1,0,PAGE0012
(direct) / (none),20220210,1,1,1,0,PAGE0013
(direct) / (none),20220204,2,3,7,2150,PAGE0014
(direct) / (none),20220206,2,2,2,0,PAGE0014
(direct) / (none),20220207,2,2,2,0,PAGE0014
(direct) / (none),20220209,3,3,5,575,PAGE0014
(direct) / (none),20220210,1,1,1,0,PAGE0014
(direct) / (none),20220204,1,1,3,58,PAGE0015
(direct) / (none),20220207,1,1,7,354,PAGE0016
(direct) / (none),20220208,1,1,1,0,PAGE0017
(direct) / (none),20220209,1,1,19,3930,PAGE0018
(direct) / (none),20220208,1,1,2,2,PAGE0019
(direct) / (none),20220206,1,1,46,564,PAGE0020
(direct) / (none),20220207,1,1,12,85,PAGE0020
(direct) / (none),20220204,1,1,3,198,PAGE0021
(direct) / (none),20220206,1,1,1,0,PAGE0021
(direct) / (none),20220208,2,2,3,56,PAGE0021
(direct) / (none),20220209,6,6,10,160,PAGE0021
(direct) / (none),20220210,1,1,5,193,PAGE0022
(direct) / (none),20220207,1,1,1,0,PAGE0023
(direct) / (none),20220204,1,1,45,9901,PAGE0024
(direct) / (none),20220208,2,2,5,232,PAGE0024
(direct) / (none),20220209,1,1,3,450,PAGE0024
(direct) / (none),20220210,2,2,10,2587,PAGE0024
(direct) / (none),20220209,1,1,8,774,PAGE0025
(direct) / (none),20220204,3,3,26,1624,PAGE0026
(direct) / (none),20220206,3,3,9,373,PAGE0026
(direct) / (none),20220207,2,2,12,4213,PAGE0026
(direct) / (none),20220208,3,3,10,1390,PAGE0026
(direct) / (none),20220209,4,5,80,7701,PAGE0026
(direct) / (none),20220210,5,9,59,8916,PAGE0026
(direct) / (none),20220208,2,2,28,7853,PAGE0027
(direct) / (none),20220210,1,1,1,0,PAGE0027
(direct) / (none),20220210,1,1,5,65,PAGE0028
(direct) / (none),20220207,1,1,1,0,PAGE0029
(direct) / (none),20220209,1,1,6,60,PAGE0030
(direct) / (none),20220209,1,1,1,0,PAGE0031
(direct) / (none),20220208,1,1,14,2416,PAGE0032
(direct) / (none),20220207,1,1,1,0,PAGE0033
(direct) / (none),20220209,1,1,1,0,PAGE0033
(direct) / (none),20220204,1,1,4,22,PAGE0034
(direct) / (none),20220205,1,1,3,239,PAGE0034
(direct) / (none),20220206,1,1,1,0,PAGE0034
(direct) / (none),20220207,6,6,6,0,PAGE0034
(direct) / (none),20220208,9,10,26,1322,PAGE0034
(direct) / (none),20220209,6,6,7,41,PAGE0034
(direct) / (none),20220210,1,1,7,232,PAGE0034
(direct) / (none),20220204,2,2,2,0,PAGE0035
(direct) / (none),20220206,1,1,18,2750,PAGE0035
(direct) / (none),20220206,1,1,1,0,PAGE0036
(direct) / (none),20220207,4,4,4,0,PAGE0036
(direct) / (none),20220208,2,2,10,346,PAGE0036
(direct) / (none),20220209,3,3,3,0,PAGE0036
(direct) / (none),20220210,1,1,1,418,PAGE0036
(direct) / (none),20220207,1,1,1,0,PAGE0037
(direct) / (none),20220209,1,1,1,0,PAGE0037
(direct) / (none),20220207,2,2,2,0,PAGE0038
(direct) / (none),20220209,1,1,1,0,PAGE0038
(direct) / (none),20220204,1,1,1,0,PAGE0039
(direct) / (none),20220207,1,1,5,862,PAGE0040
(direct) / (none),20220208,1,1,13,2356,PAGE0040
(direct) / (none),20220206,1,1,1,15,#VALUE!
(direct) / (none),20220205,1,1,2,9,PAGE0042
(direct) / (none),20220210,1,1,8,354,PAGE0043
(direct) / (none),20220208,1,1,1,0,PAGE0044
(direct) / (none),20220210,1,1,12,1585,PAGE0045
(direct) / (none),20220210,1,1,1,0,PAGE0046
(direct) / (none),20220210,1,1,1,0,PAGE0047
(direct) / (none),20220210,1,1,1,0,PAGE0048
(direct) / (none),20220209,1,1,1,0,PAGE0049
(direct) / (none),20220204,3,3,14,1467,PAGE0050
(direct) / (none),20220207,3,4,29,4876,PAGE0050
(direct) / (none),20220208,1,1,27,2721,PAGE0050
(direct) / (none),20220209,1,1,2,59,PAGE0050
(direct) / (none),20220208,1,1,7,761,PAGE0051
(direct) / (none),20220204,1,1,1,0,PAGE0052
(direct) / (none),20220207,1,1,1,0,PAGE0052
(direct) / (none),20220210,1,1,8,865,PAGE0053
(direct) / (none),20220209,1,1,1,0,PAGE0054
(direct) / (none),20220210,1,1,5,393,PAGE0055
(direct) / (none),20220209,1,2,6,127,PAGE0056
(direct) / (none),20220204,1,1,14,1218,PAGE0057
(direct) / (none),20220208,1,1,3,828,PAGE0058
(direct) / (none),20220204,1,1,1,0,PAGE0059
(direct) / (none),20220207,1,1,7,873,PAGE0060
(direct) / (none),20220209,1,1,1,0,PAGE0061
(direct) / (none),20220209,2,3,11,2508,PAGE0062
(direct) / (none),20220210,2,2,4,15,PAGE0062
(direct) / (none),20220206,1,1,1,0,PAGE0063
(direct) / (none),20220205,1,1,2,139,PAGE0064
(direct) / (none),20220208,1,1,13,1344,PAGE0065
(direct) / (none),20220204,1,1,1,0,PAGE0066
(direct) / (none),20220206,1,1,1,0,PAGE0067
(direct) / (none),20220204,2,2,5,643,PAGE0068
(direct) / (none),20220205,2,2,3,18,PAGE0068
(direct) / (none),20220206,1,1,2,17,PAGE0068
(direct) / (none),20220207,3,3,4,40,PAGE0068
(direct) / (none),20220208,4,4,4,0,PAGE0068
(direct) / (none),20220209,2,2,2,0,PAGE0068
(direct) / (none),20220210,5,5,8,84,PAGE0068
(direct) / (none),20220204,1,1,1,12,PAGE0069
(direct) / (none),20220207,1,1,5,189,PAGE0069
(direct) / (none),20220204,1,1,1,207,PAGE0070
(direct) / (none),20220208,2,2,3,39,PAGE0071
(direct) / (none),20220209,2,2,8,2285,PAGE0072
(direct) / (none),20220206,1,1,3,1740,PAGE0073
(direct) / (none),20220209,2,2,11,296,PAGE0074
(direct) / (none),20220204,1,1,1,0,PAGE0075
(direct) / (none),20220206,1,1,8,349,PAGE0076
(direct) / (none),20220207,1,2,11,202,PAGE0076
(direct) / (none),20220204,1,1,1,0,PAGE0077
(direct) / (none),20220208,1,1,2,0,PAGE0077
(direct) / (none),20220210,1,1,1,0,PAGE0077
(direct) / (none),20220204,1,1,2,0,PAGE0078
(direct) / (none),20220209,1,1,8,1491,PAGE0078
(direct) / (none),20220208,1,1,1,0,PAGE0079
(direct) / (none),20220209,1,1,1,0,PAGE0079
(direct) / (none),20220209,1,1,1,0,PAGE0080
(direct) / (none),20220210,1,1,1,0,PAGE0081
(direct) / (none),20220208,2,2,2,0,PAGE0082
(direct) / (none),20220209,1,1,1,0,PAGE0083
(direct) / (none),20220204,1,1,1,0,PAGE0084
(direct) / (none),20220204,1,1,1,0,PAGE0085
(direct) / (none),20220210,1,1,1,0,PAGE0086
(direct) / (none),20220205,1,1,1,0,PAGE0087
(direct) / (none),20220206,1,1,4,1003,PAGE0088
(direct) / (none),20220206,1,1,7,117,PAGE0089
(direct) / (none),20220206,14,14,22,205,PAGE0090
(direct) / (none),20220209,1,1,1,0,PAGE0091
(direct) / (none),20220206,1,1,1,0,PAGE0092
(direct) / (none),20220210,1,1,1,0,PAGE0092
(direct) / (none),20220206,1,1,1,0,PAGE0093
(direct) / (none),20220210,1,1,4,152,PAGE0094
(direct) / (none),20220210,2,3,3,0,PAGE0095
(direct) / (none),20220209,1,1,3,103,PAGE0096
(direct) / (none),20220208,1,1,1,0,PAGE0097
(direct) / (none),20220210,1,1,2,65,PAGE0098
(direct) / (none),20220206,2,2,2,0,PAGE0099
(direct) / (none),20220206,1,1,1,0,PAGE0100
(direct) / (none),20220208,1,1,1,0,PAGE0101
(direct) / (none),20220208,1,1,5,246,PAGE0102
(direct) / (none),20220209,2,2,2,0,PAGE0103
(direct) / (none),20220207,1,1,25,3704,PAGE0104
(direct) / (none),20220207,1,1,1,0,PAGE0105
(direct) / (none),20220207,1,1,1,0,PAGE0106
(direct) / (none),20220207,1,1,1,0,PAGE0107
(direct) / (none),20220204,1,2,2,0,PAGE0108
(direct) / (none),20220207,1,1,1,0,PAGE0109
(direct) / (none),20220208,1,1,1,0,PAGE0110
(direct) / (none),20220209,1,1,1,0,PAGE0111
(direct) / (none),20220207,1,1,1,0,PAGE0112
(direct) / (none),20220209,1,1,2,38,PAGE0112
(direct) / (none),20220209,2,2,2,0,PAGE0113
(direct) / (none),20220208,1,2,2,0,PAGE0114
(direct) / (none),20220209,1,1,2,8,PAGE0114
(direct) / (none),20220205,2,2,34,3677,PAGE0115
(direct) / (none),20220208,1,1,1,0,PAGE0116
(direct) / (none),20220209,1,1,1,0,PAGE0117
(direct) / (none),20220209,1,1,1,0,PAGE0118
(direct) / (none),20220205,6,6,20,1726,PAGE0119
(direct) / (none),20220205,1,1,1,0,PAGE0120
(direct) / (none),20220204,1,1,6,113,PAGE0121
(direct) / (none),20220206,1,2,2,0,PAGE0122
(direct) / (none),20220207,4,4,4,0,PAGE0123
(direct) / (none),20220208,1,1,1,0,PAGE0123
(direct) / (none),20220209,3,3,4,19,PAGE0123
(direct) / (none),20220210,4,4,4,0,PAGE0123
(direct) / (none),20220204,1,1,1,0,PAGE0124
(direct) / (none),20220209,1,1,6,46,PAGE0125
(direct) / (none),20220207,1,1,4,162,PAGE0126
(direct) / (none),20220208,1,1,1,0,PAGE0127
(direct) / (none),20220210,1,1,2,5,PAGE0127
(direct) / (none),20220210,1,1,1,0,PAGE0128
(direct) / (none),20220207,1,1,1,0,PAGE0129
(direct) / (none),20220205,1,1,3,64,PAGE0130
(direct) / (none),20220204,2,2,2,0,PAGE0131
(direct) / (none),20220206,1,1,1,0,PAGE0132
(direct) / (none),20220204,1,1,1,0,PAGE0133
(direct) / (none),20220204,1,1,1,0,PAGE0134
(direct) / (none),20220208,1,1,3,313,PAGE0135
(direct) / (none),20220204,1,1,31,4441,PAGE0136
(direct) / (none),20220204,1,1,1,0,PAGE0137
(direct) / (none),20220204,1,1,13,3103,PAGE0138
(direct) / (none),20220206,2,2,7,213,PAGE0138
(direct) / (none),20220207,1,1,1,0,PAGE0138
(direct) / (none),20220209,1,1,36,3753,PAGE0138
(direct) / (none),20220210,3,5,13,1929,PAGE0138
(direct) / (none),20220204,1,1,14,603,PAGE0139
(direct) / (none),20220206,1,1,1,0,PAGE0139
(direct) / (none),20220207,1,1,13,1230,PAGE0139
(direct) / (none),20220209,4,4,28,6059,PAGE0139
(direct) / (none),20220210,2,2,13,2512,PAGE0139
(direct) / (none),20220209,1,1,1,0,PAGE0140
(direct) / (none),20220210,1,1,21,4539,PAGE0141
(direct) / (none),20220209,1,1,7,842,PAGE0142
(direct) / (none),20220209,1,2,23,4379,PAGE0143
(direct) / (none),20220209,1,1,10,1898,PAGE0144
(direct) / (none),20220210,1,1,3,677,PAGE0145
(direct) / (none),20220210,1,1,1,0,PAGE0146
(direct) / (none),20220209,1,2,5,1576,PAGE0147
(direct) / (none),20220209,1,1,2,91,PAGE0148
(direct) / (none),20220204,1,1,2,663,PAGE0149
(direct) / (none),20220206,1,1,1,0,PAGE0149
(direct) / (none),20220208,1,1,22,639,PAGE0149
