,date,jobsource,jobsearch,MetroID,jobtitlenorm,jobeasyapply,jobisorganic,companyname,jobdaysago,companysize,companyfounded,companytype,companyindustry,companysector,companyrevenue,companyrating,companyratings,companyrecommendfriend,companyapproveceo,jobtitle,cityname,jobdescription,wageavg,wagemin,wagemax
0,2022-01-24,glassdoor,data analyst,1.0,,,,,,51 to 200 Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),,2.9,17 Ratings,44 %,71 %,Business Analyst,"New York, NY","US Based, remote position, preferably located in Mid-West, Eastern US.

BioIVT, formerly BioreclamationIVT, is a leading global provider of high-quality biological specimens and value-added services. We specialize in control and disease state samples including human and animal tissues, cell products, blood, and other biofluids. Our unmatched portfolio of clinical specimens directly supports precision medicine research and the effort to improve patient outcomes by coupling comprehensive clinical data with donor samples.
Our Research Services team works collaboratively with clients to provide in vitro hepatic modeling solutions. And as the world’s premier supplier of ADME-Tox model systems, including hepatocytes and subcellular fractions, BioIVT enables scientists to better understand the pharmacokinetics and drug metabolism of newly discovered compounds and their effects on disease processes. By combining our technical expertise, exceptional customer service, and unparalleled access to biological specimens, BioIVT serves the research community as a trusted partner in ELEVATING SCIENCE®.
Job Purpose
The Business Analyst (M&A Acquisitions) will support the growth and success of acquired partner businesses by planning and executing on implementing best in class operational processes. This position provides business analysis services to internal business partners. The BA is an agent of change within the organization and our acquired partners. The focus of this position is to work closely with the business units to gain an in-depth understanding of internal customers' business strategy, processes, services, roadmap, and the context in which the business operates. These tasks will be vital in addressing business challenges and integrating newly acquired organizations into our established systems and processes.
The M&A Acquisitions Business Analyst serves as a leader on the M&A Acquisitions Integrations Team lending their experience with process mapping and design to solving complex business process alignment problems. The BA will lead the team to identify and map the business processes of newly acquired organizations and will plan for the integration/absorption/alignment of those processes with an existing business process where needed. This will include reviewing selected business processes from end to end to identify and address operational, financial, and technological needs. Identify opportunities to improve efficiency. Responsibilities will include a full range of activities, from leading projects to assisting business managers with understanding how to best integrate new organizations into our own.
Duties and Responsibilities
Lead cross-functional teams through integrated planning and execution, value creation planning, and change management
Establish partnerships with business unit and functional Integration Leads, IT product managers, and key business stakeholders help align the business operating model, integration strategy and execution, and status of projects and key decisions
Define, implement, and communicate Key Performance Indicators to showcase the value creation impact of integrations
Implement effective operational processes with a lens towards scale and repeatability
Provide analytical support for critical corporate initiatives, including business function support for system migrations and consolidations and significant business process improvement projects
Lead or participate in multiple projects by completing and updating project documentation; managing project scope; adjusting schedules when necessary; determining daily priorities and resource requirements; ensuring efficient and on-time delivery of project tasks and milestones; following proper escalation paths; and managing customer and supplier relationships.
Demonstrate a high level of subject matter expertise in functional areas to bridge business requirements and IT solutions; provide technical direction and ensure adoption of best-practice solutions.
Document current and future state processes.
Manage internal customer relationships and expectations by developing a communication process to keep others up-to-date on project results
Create and maintain issue logs, meeting minutes, meeting schedules, project summaries, and updates as required to promote proactive and effective communication
Qualifications
Bachelor's degree in the field of computer science, information systems, business, or a related field
The ideal candidate is action-oriented, impact-focused, and has an operational background with exposure to other business functional teams (finance, HR, Marketing/Commercial, etc)
Prior experience or a curiosity to learn about M&A and the integration of recently acquired teams into new and existing organizational systems and processes - while minimizing disruption and optimizing value creation
Experience in a business analytics role: including requirements gathering, process definition, business process documentation.
Experience working with ERP or other major systems implementation projects is a plus
Demonstrated ability to work successfully on large projects
Problem solving skills evidenced by demonstrated results in past positions
Ability to work under tight deadlines and handle multiple/detail-oriented tasks
Data Analysis: Skilled in data reporting, data analysis, and business impact analysis
Excellent verbal (written and oral) and interpersonal communication skills.
Strong time management, ability to successfully manage multiple tasks at any given point, strong relationship building skills & communication skills.
Able to work collaboratively across the organization and at all levels
Self-motivated, self-directed, and attentive to detail.
Experience working in a team-oriented, collaborative environment.
Excellent follow-through
Ability to travel to company locations as projects require

The Company is an AA/EEO/Veterans/Disabled Employer.","$88,962 /yr (est.)",$62K ,$129K
1,2022-01-24,glassdoor,data analyst,1.0,Data Analyst,false,false,Bloomberg,30d+,10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,4.1,1919 Ratings,80 %,87 %,Data Quality Analyst - Enterprise Data,"New York, NY","We""re Bloomberg Enterprise Data - fast paced, innovative and rapidly growing. We partner closely with our clients, taking time to understand their unique businesses and individual data and technology needs. Our endless selection of datasets, covering all asset types, with multiple delivery technologies and flexible scheduling mean our clients are able to get exactly the data they need, when they need it, in the format they prefer. Without us, they simply can""t operate. Firms that contribute to applying only highest-quality data can eliminate the data inconsistencies inherent to working with multiple vendors and lower their costs overall. A partnership with Bloomberg Enterprise Data allows just this, giving them strategic advantage.

What's the Role?

The business is looking for a Data Quality Analyst to join the Enterprise Data Quality Assurance team. The successful candidate will be responsible for creating and maintaining testing frameworks that automate test plans used to ensure that Enterprise Data products are of high quality before launch.

The Quality Assurance team works with Product/Business teams and Engineering to accomplish the following:
Creating testing strategies - Identify the test scope and objective with focus for launch of new enterprise data product or dataset
Presenting test results - Able to articulate and discuss data quality issue and remediation with multiple stakeholders
Driving continuous improvements of testing tools and processes - Open-minded to new insights/technologies on how to perform testing in more reliable and efficient way
Researching solutions to address client needs - Able to research/learn independently and provide possible solutions

We""ll trust you to:
Work closely with product managers, and engineering team to ensure the highest quality of products that we offer by implementing and performing dynamic data quality assurance procedures
Have strong attention to details and dedication to efficiently work problems to resolution
Apply judgment, and collaboration skills to interact positively and communicate appropriately with team members, management and other stakeholders
Be able to prioritize and ensure projects complete on time
Produce high quality documentation of test execution
Possess the ability to quickly learn new concepts

You""ll need to have:
A strong understanding of financial data
Experience with tools to handle large scale datasets and perform statistical analysis
Proficiency in one of the programming languages such as Python, R or SQL and familiar with distributed computing frameworks (e.g., Spark)
Highly motivated individual with excellent communication skills
Strong problem solving and troubleshooting skills
Meticulous with proven analytic skills
The ability to address multiple priorities in a very fast-paced environment

Apply if you think we're a good match, and we'll get in touch with you to let you know next steps.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","$105,679 /yr (est.)",$74K ,$152K
2,2022-01-24,glassdoor,data analyst,1.0,Data Analyst,true,false,Youth Consultation Service (YCS),30d+,1001 to 5000 Employees,1918,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,$50 to $100 million (USD),3.6,15 Ratings,53 %,76 %,Data Analyst,"East Orange, NJ","Youth Consultation Service (YCS) is a mission driven organization which partners with at-risk individuals with special needs from birth to adulthood to build happier, healthier, more hopeful lives within their families and communities. Since 1918, YCS has brought life-changing success to New Jersey’s most vulnerable population who have been affected by trauma or intellectual or developmental disabilities. Today, YCS is recognized as one of New Jersey’s leading non-profit providers of comprehensive behavioral health and mental health services. Join our team and you can help thousands of people reach their full potential and lead fulfilling lives.
YCS is currently seeking an HRIS Coordinator. The HRIS Coordinator is responsible for performing HRIS and other HR related duties at a professional level working closely with senior HR management. This position carries out responsibilities in related HRIS and HR processes.
DUTIES AND RESPONSIBILITIES
Provides technical support, troubleshooting, and guidance to HR system users.
Confidentially maintains employee records.
Collaborates with operations and HR staff to identify system improvements and enhancements; recommends and implements solutions.
Compiles reports for HR and leadership.
Ensures system compliance with data security and privacy requirements.
Maintains knowledge of trends and developments in HRIS technology.
Strong focus on streamlining processes from paper to electronic.
Responsible for other HR process which may include assisting with compliance audits and processing HR transactions.
Additional responsibilities as directed by supervisor(s).
REQUIREMENTS
Bachelor's degree preferred.
1-3 years experience with HRIS and HR processes.
Experience with UltiPro, Kronos or a similar HRIS system desirable.
Strong Excel skills including use of pivot tables and creation of charts.
Detail oriented and well organized.
YCS is An Equal Opportunity/Affirmative Action Employer
Job Type: Full-time
Pay: $53,000.00 - $55,000.00 per year
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Education:
Bachelor's (Required)
Experience:
HRIS process: 1 year (Required)
HRIS Technical Support: 1 year (Required)
Strong Excel Skills: 1 year (Required)
Work Location: One location",,,
3,2022-01-24,glassdoor,data analyst,1.0,Data Analyst,false,false,1199SEIU Family of Funds,30d+,1001 to 5000 Employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),,3.5,30 Ratings,58 %,67 %,Data Analyst,"New York, NY","Responsibilities

Assist Associate Director in implementing critical software applications which include requirements gathering, testing, training, and implementation
Work with the business users to understand and develop procedures to support all the software applications in use
Conduct ongoing meetings with the business users in gathering future enhancements and implementing the changes across all software applications
Develop reports that will span all the software applications and provide a standard set of information that can be utilized in analysis, trustee reporting, and grant reporting
Serve as a Project Manager to ensure the goals and outcomes are met; work with Associate Director on procedures to preserve the data integrity of information that is entered in all software applications
Assist business units with recording outcomes in all software applications; work with Information Technology and Training and Employment Fund to develop a standard reporting tool to report accurate data for the trustees’ reports from all Funds using data from existing applications
Identify, analyze and improve existing business processes; implement improved processes and ensure procedures are followed to meet departmental goals
Provide ad-hoc reporting for information that is not reported by, or available in existing software using business intelligence tools such as Qlikview, Microsoft Access, Excel and SSRS
Develop, organize and conduct staff training, including regional staff on all software applications
Perform additional duties and projects as assigned by management

Qualifications

Bachelor’s Degree in Business Management, Computer Science or equivalent years of experience required
Minimum two (2) year job related experience; to include knowledge of project management methodology, Business analysis, database structures, SQL query generation or report writing
Strong interpersonal, written, presentation and project management skills required
Experience with using Salesforce preferred
Strong team player; proactive and able to follow up on multifaceted projects
Must be able to work flexible hours, including some evenings","$68,678 /yr (est.)",$52K ,$91K
4,2022-01-24,glassdoor,data analyst,1.0,Data Analyst,true,false,Ursus,3d,51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),4.2,18 Ratings,80 %,85 %,Data Analyst - Business Products,"New York, NY","Job Title: Data Analyst - Business Products
Location: New York, NY
Duration: 1 Year

Summary:
This candidate will be working on Business Products Engineering- Developing reporting tier 1- 2 Tableau with PSO operational reporting and insights for new products.

Job Responsibilities:
Test programs or databases, correct errors and make necessary modifications.
Modify existing databases and database management systems or direct programmers and analysts to make changes.
Write and code logical and physical database descriptions and specify identifiers of database to management system or direct others in coding descriptions.
Skills:
2-5 years experience in the following:
Tableau
Development skills
Data analysis skills - sequel
Problem solving skills
Education/Experience:
Associate's degree in computer programming or equivalent training required.

IND123","$88,412 /yr (est.)",$64K ,$121K
5,2022-01-24,glassdoor,data analyst,1.0,Senior Analyst,false,false,Michael Page,4d,5001 to 10000 Employees,1976,Company - Private,$10+ billion (USD),,,,,,,"Senior Analyst, Data Products AdTech","New York, NY","MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.

Description

Responsibilities:

Operate as supporting ad tech expert to marketing, responsible for understanding marketing's campaign initiatives and implementing the tech needed to bring them to life.
Coordinate and prioritize tagging needs of marketing and agency teams, work with internal dev teams to get tagging needs implemented.
Lead and subject matter expert on Google Marketing Platform, MMP (Kochava) and SDK implementations (including Firebase and mParticle)
Lead on product marketing implementations - i.e. deeplinking capabilities within app.
Work heavily within the CDP (mParticle) to ensure key data events are getting into the CDP, and ensuring events are being accurately forwarded to ad platforms for optimization.
Work with, and support, marketing analytics team to ensure their data collection needs are met (MTA tagging, click trackers/integrations, accurate DCO tagging, etc.)
All applicants must be authorized to work in the USA. Company will not provide visa sponsorship.
Requirements:

BA/BS in technical or marketing discipline or relevant work experience
5+ Years working within the buy side of ad tech and mar tech
Experience at ad agency a plus
Strong experience with full stack Google Marketing Platform, particularly GA and Firebase
Experience with MMP implementations and experience implanting functionality and tracking of deeplinking capabilities
Experience with owned marketing integrations with paid-media campaigns
They just started a new dynamic streaming service. This company was founded over 80 years ago and here you'll find more than a job. Here you'll find a fast-paced, determined team of unique people who want to be at the epicenter of technology, sports, news, tv, movies and more. They are determined to forge the next frontier of streaming through creativity, teamwork, and talent.
Full Time Permanent Role

Health Benefits

Bonuses

Can Be Remote!

All applicants must be authorized to work in the USA. Company will not provide visa sponsorship.",,,
6,2022-01-24,glassdoor,data analyst,1.0,Business Analyst,true,false,Robert Half,4d,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),3.9,605 Ratings,74 %,83 %,Business Analyst,"New York, NY","Are you adept at creating action plans based on business needs and a proficient problem-solver? The Business Analyst will be responsible for the documentation, analysis, and elicitation of business and technical needs across multiple business units. To be successful in this role, you must have exceptional communication skills and a proven ability to communicate technical and business requirements alike.

Your responsibilities in this role

Documents and elicits requirements through user stories, use cases, process flow diagrams, etc.
Builds relationships and collaborates with business units, development teams, and other stakeholders to gather, analyze and prioritize requests
Ensures that complex requirements are executable, testable, complete and not ambiguous
Experience with Agile methodology
4+ years of business analysis experience
Ability to write basic to moderately complex SQL queries, as well as technical skills including Word, Excel, PowerPoint, Visio, and Jira (or similar tool)
Background working with a variety of simple to complex projects
Willing to take ownership, proactive, flexible, adaptable, strong problem-solving skills, and the ability to communicate to all levels in an organization
Bachelor's Degree in Computer Science, Management Information Systems, Business Administration or equivalent work experience
Experience eliciting and documenting requirements in a clear and concise manner
Technology Doesn't Change the World, People Do.®

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.

Questions? Call your local office at 1.888.490.4429. All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals. Visit https://roberthalf.gobenefits.net/ for more information.

© 2021 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use .",,,
7,2022-01-24,glassdoor,data analyst,1.0,Market Analyst,false,true,TikTok,8d,1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,3.5,180 Ratings,60 %,66 %,User Communications Insights Analyst,"New York, NY","About TikTok:
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

Job Description
TikTok's US Operations team ensures we're delivering on our mission through all of our user-facing communication efforts, helping establish TikTok as our users’ favorite daily experience. We're looking for a highly organized, independent Insights Analyst to share information about user trends, analyze communication strategies, develop new reports and share insights with cross-functional teams.

The Insights Analyst will work with the US Operations team to analyze data, campaigns, and communication, create reports informed by data and dashboards, share recommendations with teams and develop best practices. You must be capable of sorting through many competing priorities, defining processes, executing with precision, and succeeding in a complex and fast paced environment. This role will liaise with the User Communications Strategy, Tools and Reporting, and Data teams.

Responsibilities:
Create reports analyzing user communication channel performance and engagement
Share best practices and learnings from recent projects with cross-functional teams
Directly manage day-to-day escalations and troubleshooting of issues
Team player, ability to engage on all levels of the organization
1-3 years of experience working in an analytical role that involves heavy cross functional team collaboration
Excellent writing, communication, organizational and interpersonal skills
Proven track record of operating independently, demonstrating creativity, and managing multiple projects simultaneously
Passionate about entertainment and digital content; Knowledge of the media landscape and major trends in the industry
Solid understanding of the TikTok user experience
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.
TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com","$71,047 /yr (est.)",$54K ,$93K
8,2022-01-24,glassdoor,data analyst,1.0,Data Analyst,true,true,Catholic Charities of the Archdiocese of New York,13d,1 to 50 Employees,Nonprofit Organization,Less than $1 million (USD),,,,3.7,5 Ratings,66 %,100 %,Program Data Analyst,"New York, NY","Program Data Analyst
Catholic Charities, one of New York’s most prominent nonprofit organization is currently seeking a Program Data Analyst. The Program Data Analyst will serve a key role in the implementation of performance metrics used to review program effectiveness. The Program Data Analyst will support the collection and analysis of program related data and assist in the development of proposals, reports, and evaluation plans for program related initiatives.
Essential Duties and Responsibilities:
· Support the design and implementation of appropriate performance measurement plans to monitor and evaluate program impact.
· Perform quantitative and qualitative data analysis.
· Perform quality control checks of program data on a regular basis to ensure data integrity and quality.
· Train program staff as necessary on program data activities.
· Assist in preparation of data reports as well as conduct ad hoc reporting.
· Create data visualizations to communicate programmatic and organizational impact.
Position Type and Expected Hours of Work:
This is a full-time position. Days and hours of work are generally 9:00 AM to 5 PM Monday - Friday. Additional hours may be required to meet department and Agency deadlines.
Qualifications:
Education and/or experience:
· Bachelor's degree in a related field (i.e.: psychology, statistics, data science, health informatics, public health) required.
· 1-3 years of experience in manipulating large data sets for analysis and interpretation.
· Microsoft Office proficiency with advanced skills in Microsoft Excel (i.e.: formulas/functions, automation).
· Salesforce knowledge preferred, but not required (i.e.: experience building reports and dashboards).
· Strong analytical skills.
· Experience with data visualization tools and techniques.
Pay: $24.73 - $30.22 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Retirement plan
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
New York, NY 10022: Reliably commute or planning to relocate before starting work (Preferred)
Experience:
SQL: 1 year (Preferred)
Work Location: One location",,,
9,2022-01-24,glassdoor,data analyst,1.0,Internal Auditor,false,true,TikTok,1d,1001 to 5000 Employees,2016,,,Information Technology,Unknown / Non-Applicable,3.5,180 Ratings,60 %,66 %,Data Analyst - Internal Audit and Risk Control,"New York, NY","About TikTok
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul, Tokyo, Sao Paolo, Mexico City, and Toronto.

Position Summary:
Internal Audit and Risk Control team is missioned to be an independent and trusted gatekeeper and advisor through providing objective assurance, comprehensive evaluation, and proactively innovative consultancy on global employees integrity, business risk management and controls to protect and maximize organizational value for the Company, its investors, and stakeholders. We are now looking for data analysts in Singapore/Los Angeles/London who will power our mission with data engineering, data analytics and data science technology.

Responsibilities:
Analyse the company's business risk with data, locate key factors and generate key indicators out of the data and link to the process risks, develop and manage IARC data map and risk data warehouse.
Integrate fragmented and scattered local information into effective indices or models with data mining, clustering, classification technologies, to form a set of parameters and rules that fully describes the risk levels of different risks along with the business processes.
Leverage data engineering and data science to provide analytical insights, contribute to and help deliver risk data mining, ETL, data warehouse construction, data cleaning/restructuring, statistical modelling and machine learning application in partnership with internal audit, risk control, investigation and other cross-functional teams.
Participate in the development of Internal Audit and Risk Control data platform, deploy data cronjobs or monitoring models in ByteDance data platform. Design and develop BI dashboards to present the analytics insights and set anomaly alerts according to monitoring rules.
Bachelor's degree or higher in the advanced field of technology or management or other equivalent majors such as mathematics, statistics, computer science, financial engineering, etc.
3+ years of strong industry experience in big data analysis and/or risk data modelling and/or other relevant data mining fronts. Data science (algorithms/machine learning) experience in large Internet companies is preferred.
Proficiency in data analysis and statistical analysis tools such as SQL, R, and Python. Proficiency in data science skills and common Machine Learning application knowledge.
Experience in coordinating cross-functional and cross-regional execution. Strong communication, critical thinking, internet related business acumen and quick learning are preferred.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com.","$84,890 /yr (est.)",$61K ,$118K
